nombre,comuna,franja_distancia_comisaria,superficie_interseccion_km2,factor_area_barrio,POBLACION,poblacion_estimada
Saavedra,12,ENTORNO INMEDIATO (0-500 m),0.7841371226362897,0.14163210736107668,50295,7123.386839725352
Saavedra,12,CERCANA (501-900 m),1.7963571178337057,0.3244609097404861,50295,16318.761455397747
Saavedra,12,INTERMEDIA (901-1350 m),1.9102969307141338,0.34504090186779024,50295,17353.83215944051
Saavedra,12,ALEJADA (MAS DE 1350 m),1.0456450031164581,0.1888660810306466,50295,9499.01954543637
San Cristobal,3,ENTORNO INMEDIATO (0-500 m),1.1317693633459718,0.5540352414820403,48611,26932.20712368346
San Cristobal,3,CERCANA (501-900 m),0.9101544605361219,0.4455480618756945,48611,21658.536835839386
San Cristobal,3,INTERMEDIA (901-1350 m),0.0008512175006115759,0.00041669664224769083,48611,20.2560404763025
San Nicolas,1,ENTORNO INMEDIATO (0-500 m),1.4425311303545552,0.6304961860512849,29273,18456.514854279263
San Nicolas,1,CERCANA (501-900 m),0.828763687443237,0.3622329758265449,29273,10603.645901370448
San Nicolas,1,INTERMEDIA (901-1350 m),0.016635168565726558,0.007270838122178274,29273,212.83924435052464
San Telmo,1,ENTORNO INMEDIATO (0-500 m),0.9201540007026204,0.7470704046491937,20453,15279.830986289959
San Telmo,1,CERCANA (501-900 m),0.3115291110580933,0.2529295953508433,20453,5173.169013710798
Velez Sarsfield,10,ENTORNO INMEDIATO (0-500 m),0.2663417375363954,0.11099646243094574,35081,3893.8668985400077
Velez Sarsfield,10,CERCANA (501-900 m),1.1342595438214382,0.47269646134794757,35081,16582.66456054735
Velez Sarsfield,10,INTERMEDIA (901-1350 m),0.6019370218455273,0.25085396171504104,35081,8800.207830925354
Velez Sarsfield,10,ALEJADA (MAS DE 1350 m),0.39701328342577336,0.1654531145060715,35081,5804.260709987494
Versalles,10,ENTORNO INMEDIATO (0-500 m),0.9191183982671599,0.6535758600391878,13822,9033.725537461652
Versalles,10,CERCANA (501-900 m),0.3952554496884183,0.2810621797499862,13822,3884.8414485043095
Versalles,10,INTERMEDIA (901-1350 m),0.09191799123824024,0.0653619602108599,13822,903.4330140345055
Villa Crespo,15,ENTORNO INMEDIATO (0-500 m),1.0156545976128568,0.2810013665240801,81959,23030.59099894708
Villa Crespo,15,CERCANA (501-900 m),1.9210697464831732,0.5315027620793653,81959,43561.4348772627
Villa Crespo,15,INTERMEDIA (901-1350 m),0.5700228684414341,0.15770834431163047,81959,12925.618191436923
Villa Crespo,15,ALEJADA (MAS DE 1350 m),0.10766438330730778,0.029787527084929204,81959,2441.3559323537124
Villa Del Parque,11,CERCANA (501-900 m),0.22309712168375037,0.06565112623776527,55273,3628.7347005399997
Villa Del Parque,11,INTERMEDIA (901-1350 m),1.1122374489928826,0.327299790419126,55273,18090.84131583635
Villa Del Parque,11,ALEJADA (MAS DE 1350 m),2.0628877366722826,0.6070490833431234,55273,33553.42398362446
Villa Devoto,11,ENTORNO INMEDIATO (0-500 m),0.7841371226362897,0.12248411009051138,66521,8147.7654873309075
Villa Devoto,11,CERCANA (501-900 m),1.9348544595686927,0.3022289339371737,66521,20104.57091443473
Villa Devoto,11,INTERMEDIA (901-1350 m),1.7578375989408301,0.2745784732981911,66521,18265.234622268967
Villa Devoto,11,ALEJADA (MAS DE 1350 m),1.9251206069274291,0.3007084826741229,66521,20003.42897596533
Villa Gral. Mitre,11,ENTORNO INMEDIATO (0-500 m),1.104838333438645,0.5111743075720555,34713,17744.393738748764
Villa Gral. Mitre,11,CERCANA (501-900 m),0.7562354857292782,0.34988662058452025,34713,12145.614260350452
Villa Gral. Mitre,11,INTERMEDIA (901-1350 m),0.2892825649749409,0.13384203857545232,34713,4646.058685069676
Villa Gral. Mitre,11,ALEJADA (MAS DE 1350 m),0.011016589953439153,0.00509703326796024,34713,176.9333158307038
Villa Lugano,8,ENTORNO INMEDIATO (0-500 m),1.7850154525091542,0.1920962471152095,126374,24275.971132937488
Villa Lugano,8,CERCANA (501-900 m),2.3729163590015716,0.25536379903139883,126374,32271.344738793996
Villa Lugano,8,INTERMEDIA (901-1350 m),2.487579533010284,0.2677033927186299,126374,33830.748551424134
Villa Lugano,8,ALEJADA (MAS DE 1350 m),2.6467860288815657,0.2848365611347613,126374,35995.93557684433
Villa Luro,10,ENTORNO INMEDIATO (0-500 m),1.254638274042217,0.4889627965364357,32502,15892.268813027233
Villa Luro,10,CERCANA (501-900 m),0.7224319708730532,0.2815491636863063,32502,9150.910918132327
Villa Luro,10,INTERMEDIA (901-1350 m),0.5568178086054847,0.21700533013379622,32502,7053.107240008645
Villa Luro,10,ALEJADA (MAS DE 1350 m),0.0320296051015724,0.012482709643445443,32502,405.7130288312638
Villa Ortuzar,15,ENTORNO INMEDIATO (0-500 m),0.056010963048453065,0.03022672578504312,21736,657.0081116636973
Villa Ortuzar,15,CERCANA (501-900 m),0.4656768265060419,0.2513059046506786,21736,5462.385143487149
Villa Ortuzar,15,INTERMEDIA (901-1350 m),0.794509177537958,0.42876268744683305,21736,9319.585774344363
Villa Ortuzar,15,ALEJADA (MAS DE 1350 m),0.5368308284674722,0.2897046821174405,21736,6297.020970504686
Villa Pueyrredon,12,ENTORNO INMEDIATO (0-500 m),0.5912714773296815,0.17906835775625354,39654,7100.776658466478
Villa Pueyrredon,12,CERCANA (501-900 m),1.0770112731044705,0.32617612611855307,39654,12934.188105105104
Villa Pueyrredon,12,INTERMEDIA (901-1350 m),0.7443185728052343,0.22541913417107926,39654,8938.770346419977
Villa Pueyrredon,12,ALEJADA (MAS DE 1350 m),0.8893303230792486,0.2693363819541124,39654,10680.264890008373
Villa Real,10,CERCANA (501-900 m),0.3432277579315189,0.2573626266618041,13419,3453.5490871747493
Villa Real,10,INTERMEDIA (901-1350 m),0.5610579617138415,0.42069834796112865,13419,5645.351131290386
Villa Real,10,ALEJADA (MAS DE 1350 m),0.4293490912184311,0.32193902537708124,13419,4320.099781535053
